词语	词性	权重	词频
经济体	n	2.15	2
离子	n	2.15	2
定制	n	2.15	2
入主	v	2.15	2
供认	v	2.15	2
trek	n	2.15	2
示范性	n	2.15	2
挡风	vn	2.15	2
捷足先登	vl	2.15	2
邮箱	n	2.15	2
笔录	n	2.15	2
罗列	v	2.15	2
欠条	n	2.15	2
分院	n	2.15	2
细分	vn	2.15	2
聘书	n	2.15	2
紧邻	n	2.15	4
罪魁祸首	nl	2.15	2
倒入	v	2.15	2
代劳	vi	2.15	2
赠与	v	2.15	2
启明星	n	2.15	2
吮吸	v	2.15	2
恋情	n	2.15	2
马达	n	2.15	2
表妹	n	2.15	2
大马	n	2.15	2
农林牧渔	n	2.15	2
银白色	n	2.15	2
专用道	n	2.15	2
沸水	n	2.15	2
心肌	n	2.15	2
代售	vn	2.15	2
用户数	n	2.15	2
合流	vi	2.15	4
公婆	n	2.15	2
终审权	n	2.15	2
素数	n	2.15	2
端子	n	2.15	2
颅脑	n	2.15	4
无从下手	vl	2.15	2
火腿	n	2.15	2
脱光	v	2.15	2
暴发	vn	2.15	2
烈酒	n	2.15	2
探照灯	n	2.15	2
司法权	n	2.15	2
乘员	n	2.15	2
原配	n	2.15	2
公平交易	vl	2.15	2
实验性	n	2.15	2
姊妹篇	n	2.15	2
华能	nz	2.15	2
国信	nz	2.15	2
发配	v	2.15	2
光圈	n	2.15	2
sapphire	n	2.15	2
国美	nz	2.15	2
宁宁	nr2	2.15	4
经线	n	2.15	2
号房	n	2.15	2
兑奖	v	2.15	2
春情	n	2.15	2
九鼎	n	2.15	2
出炉	v	2.15	2
排挡	n	2.15	4
性行为	n	2.15	2
红眼	v	2.15	2
动能	n	2.15	2
全新	b	2.15	10
端	ng	2.15	14
当场	d	2.15	7
愿	v	2.14	9
盖	v	2.14	6
宝	n	2.14	12
角	n	2.14	5
结	v	2.14	7
懂	v	2.13	8
松	v	2.13	5
潮	n	2.12	8
陈	nr1	2.12	7
挂	v	2.12	5
菜	n	2.12	5
压	v	2.12	5
追	v	2.12	5
扣	v	2.12	5
联	vg	2.12	5
锁	v	2.12	5
侧	ng	2.12	5
沈	nr1	2.12	51
庞大	a	2.11	5
不久	m	2.11	14
浮	v	2.11	10
中华	nz	2.11	3
代表大会	n	2.11	3
自治	vi	2.11	3
契机	n	2.11	3
生日	n	2.11	3
向上	vi	2.11	3
身影	n	2.11	3
受损	vi	2.11	3
意向	n	2.11	3
手册	n	2.11	3
查明	v	2.11	3
工作日	n	2.11	3
破门	vi	2.11	3
支行	n	2.11	3
碰撞	vn	2.11	3
地委	n	2.11	3
守法	vd	2.11	3
花木	n	2.11	3
成果奖	n	2.11	3
排序	vi	2.11	3
土方	n	2.11	3
炼油	vn	2.11	3
破灭	vi	2.11	3
号角	n	2.11	3
公证处	n	2.11	3
赔钱	vi	2.11	3
山泉	n	2.11	3
直觉	n	2.11	3
国资	n	2.11	3
球台	n	2.11	3
响动	v	2.11	3
确定性	n	2.11	3
华纳	nz	2.11	3
矩阵	n	2.11	3
产	v	2.11	7
绕	v	2.11	7
mVP	n	2.11	2
pSA	n	2.11	2
161	m	2.11	2
304	m	2.11	2
189	m	2.11	2
301	m	2.11	2
302	m	2.11	2
3亿	m	2.11	2
175	m	2.11	2
720	m	2.11	2
70%	m	2.11	2
247	m	2.11	2
23%	m	2.11	2
6万	m	2.11	2
147	m	2.11	2
125	m	2.11	2
123	m	2.11	2
131	m	2.11	2
8亿	m	2.11	2
130	m	2.11	2
2.0	m	2.11	2
万	m	2.10	71
规	ng	2.10	6
从来	d	2.10	6
流	v	2.10	9
嫁	v	2.10	8
42	m	2.10	5
哭	v	2.10	11
22	m	2.09	7
乐	a	2.09	29
吹	v	2.09	7
躲	v	2.09	6
侯耀文	nr	2.08	17
答	v	2.08	6
罪	n	2.08	12
扶	v	2.08	6
武	nr1	2.08	6
息	ng	2.08	7
画	v	2.07	4
诗	n	2.07	4
修	v	2.07	4
呈	v	2.07	4
论	v	2.07	4
易	vg	2.07	4
农	ng	2.07	4
井	n	2.07	4
抛	v	2.07	4
稿	ng	2.07	4
贷	v	2.07	4
涉	vg	2.07	4
聊	v	2.07	4
闪	vi	2.07	4
吻	v	2.07	4
协	vg	2.07	4
五	m	2.07	42
5-3	m	2.07	24
远	ad	2.06	17
英国	ns	2.06	22
越是	d	2.06	6
还要	d	2.06	4
就要	d	2.06	4
默默	d	2.06	4
悄然	d	2.06	4
难怪	d	2.06	4
27	m	2.06	4
35	m	2.06	4
圣	ng	2.06	7
屋	n	2.06	8
握	v	2.06	8
翻	v	2.05	7
背	v	2.05	7
踢	v	2.05	9
128	m	2.05	3
够	v	2.05	10
国防	n	2.05	4
组成部分	nl	2.05	4
经委	n	2.05	4
索尼	nz	2.05	4
中签号	n	2.05	4
天一	n	2.05	4
gAGA	n	2.05	4
烧	vi	2.05	11
航	vg	2.05	9
合适	a	2.04	5
欠	v	2.04	5
逾	vg	2.04	5
拖	v	2.04	5
观	vg	2.04	5
折	vi	2.04	5
陪	v	2.04	5
顺	v	2.04	5
服	v	2.04	5
盐	n	2.04	5
脸	n	2.04	6
腿	n	2.04	6
劝	v	2.04	6
饭	n	2.03	7
型	k	2.03	33
恐怖	a	2.03	4
齐全	a	2.03	4
相似	a	2.03	4
反正	d	2.03	8
唱	v	2.02	10
攻	v	2.02	6
基本上	d	2.01	5
起初	d	2.01	5
深厚	a	2.00	5
强劲	a	2.00	5
异域	n	2.00	5
交友	vn	2.00	5
二级	b	1.99	8
清洁	a	1.99	10
随时	d	1.98	3
无偿	d	1.98	3
迄今	d	1.98	3
渐渐	d	1.98	3
过度	d	1.98	3
就此	d	1.98	3
无奈	d	1.98	3
日渐	d	1.98	3
居然	d	1.98	3
果然	d	1.98	3
事先	d	1.98	3
有意	d	1.98	3
随即	d	1.98	3
一味	d	1.98	3
颇为	d	1.98	3
逐一	d	1.98	3
独家	d	1.98	3
偷偷	d	1.98	3
酌情	d	1.98	3
34	m	1.98	3
56	m	1.98	3
１	m	1.98	3
32	m	1.98	3
2%	m	1.98	3
独特	a	1.98	4
骄傲	a	1.98	4
喜悦	an	1.98	4
投	v	1.98	20
有时	d	1.97	7
十	m	1.96	48
全力	d	1.96	6
单独	d	1.96	7
优质	b	1.95	6
利	n	1.95	9
远远	d	1.95	4
不用	d	1.95	4
明明	d	1.95	4
26	m	1.95	4
96	m	1.95	4
４	m	1.95	4
4%	m	1.95	4
短期	b	1.94	7
穆	nr1	1.94	34
宏大	a	1.93	3
字	n	1.93	16
30分	t	1.93	15
交大	n	1.93	7
最初	b	1.93	7
lVCVA	n	1.92	1
vESA	n	1.92	1
dPMS	n	1.92	1
pConline	n	1.92	1
yPbPr	n	1.92	1
e．N．D	n	1.92	1
mGMT	n	1.92	1
eSPN	n	1.92	1
symbian	n	1.92	1
microSDHC	n	1.92	1
eAAC+	n	1.92	1
mPEG4	n	1.92	1
realVIDEo	n	1.92	1
a687××	n	1.92	1
sunnydoll	n	1.92	1
babala	n	1.92	1
eXPMA	n	1.92	1
kosen	n	1.92	1
suparwono	n	1.92	1
lampung	n	1.92	1
t＋0	n	1.92	1
tronic	n	1.92	1
centauros	n	1.92	1
nIKKEI	n	1.92	1
b200	n	1.92	1
sMJ324	n	1.92	1
mD11	n	1.92	1
fuxingRd.	n	1.92	1
maomingRd.	n	1.92	1
nanjingRoad	n	1.92	1
shimenRoad	n	1.92	1
no.1	n	1.92	1
yongDaServiceCompany	n	1.92	1
homeEconomic	n	1.92	1
nannyServices	n	1.92	1
hUANGHE	n	1.92	1
hEROAD	n	1.92	1
streetofNanjingRoad	n	1.92	1
rFID	n	1.92	1
gBES	n	1.92	1
fM105.7	n	1.92	1
aM648	n	1.92	1
nacional	n	1.92	1
minerios	n	1.92	1
cCTV	n	1.92	1
dreamWedding	n	1.92	1
live09	n	1.92	1
cOP15	n	1.92	1
massager	n	1.92	1
sparrows	n	1.92	1
monkeys	n	1.92	1
ellsberg	n	1.92	2
amreeka	n	1.92	1
humpday	n	1.92	1
orson	n	1.92	1
welles	n	1.92	1
b27a	n	1.92	1
uchitel	n	1.92	1
gloria	n	1.92	1
tMZ.com	n	1.92	1
jaimee	n	1.92	1
grubbs	n	1.92	1
s8100	n	1.92	1
s1000	n	1.92	1
a470700	n	1.92	1
a570	n	1.92	1
iS700	n	1.92	1
a580800	n	1.92	1
a590	n	1.92	1
iS800	n	1.92	4
a650	n	1.92	1
iS1200	n	1.92	1
a720	n	1.92	1
iS1000	n	1.92	2
sX100800	n	1.92	1
tX1700	n	1.92	1
g91200	n	1.92	1
iII1000	n	1.92	1
markIII2110	n	1.92	1
iSO200	n	1.92	1
iSO100	n	1.92	1
iSO6400	n	1.92	1
nikon	n	1.92	2
multi	n	1.92	1
nikkor	n	1.92	1
f3.5	n	1.92	1
rAW+JPEG	n	1.92	1
pictmotion	n	1.92	1
dSLR	n	1.92	1
hD720p	n	1.92	1
85亿	m	1.92	1
175000	m	1.92	1
10：1	m	1.92	1
13.3%	m	1.92	1
7000	m	1.92	1
1.25	m	1.92	1
85.25	m	1.92	1
6130万	m	1.92	1
7.50亿	m	1.92	1
17.9亿	m	1.92	1
15.3亿	m	1.92	1
14.7亿	m	1.92	1
一幢幢	m	1.92	1
剑南	nr2	1.92	1
八十一	m	1.92	1
三十一	m	1.92	1
0.6%	m	1.92	1
9500	m	1.92	1
小红	nr2	1.92	1
新密	nr2	1.92	1
建婷	nr2	1.92	1
16:9	m	1.92	1
第43	m	1.92	1
第37	m	1.92	1
149万	m	1.92	1
卓辉	nr2	1.92	2
37万	m	1.92	1
114亿	m	1.92	1
1250.0亿	m	1.92	1
114.0亿	m	1.92	1
49.8亿	m	1.92	1
163.8亿	m	1.92	1
357.4亿	m	1.92	1
1.3亿	m	1.92	1
5.8亿	m	1.92	1
894.6亿	m	1.92	1
112.7亿	m	1.92	1
45.3亿	m	1.92	1
158.0亿	m	1.92	1
6—8	m	1.92	1
8.06亿	m	1.92	1
1.5亿	m	1.92	1
4.38亿	m	1.92	1
2.18亿	m	1.92	1
161亿	m	1.92	1
62亿	m	1.92	1
68亿	m	1.92	1
31亿	m	1.92	1
92亿	m	1.92	1
199亿	m	1.92	1
2.4亿	m	1.92	1
一起起	m	1.92	1
2.67亿	m	1.92	1
9.14亿	m	1.92	1
3.65亿	m	1.92	1
1.79亿	m	1.92	1
130万	m	1.92	1
103万	m	1.92	1
7-10	m	1.92	1
一天天	m	1.92	1
一块块	m	1.92	1
小吉	nr2	1.92	1
3400	m	1.92	1
5.15	m	1.92	1
5600万	m	1.92	1
第231	m	1.92	1
2260亿	m	1.92	1
113亿	m	1.92	1
1320亿	m	1.92	1
49.9亿	m	1.92	1
福熙	nr2	1.92	1
111×52×14.5mm	n	1.92	1
109.0g	n	1.92	1
1600万	m	1.92	1
640×360	m	1.92	1
16GB	n	1.92	1
320万	m	1.92	1
27287	m	1.92	1
12946	m	1.92	1
16.91万	m	1.92	1
三四十	m	1.92	1
11万	m	1.92	1
之思	nr2	1.92	1
6—7	m	1.92	1
17000	m	1.92	1
17123	m	1.92	1
175万	m	1.92	1
一两万	m	1.92	1
十亿	m	1.92	1
2012	m	1.92	9
3200万	m	1.92	1
57％	m	1.92	2
7.19％	m	1.92	1
6.45％	m	1.92	1
038003.SZ	n	1.92	1
59.22％	m	1.92	1
038004.SZ	n	1.92	1
33.96％	m	1.92	1
580989.SH	n	1.92	1
59.81％	m	1.92	1
19.57％	m	1.92	1
12.33％	m	1.92	1
46.11％	m	1.92	1
471.14％	m	1.92	1
388.92％	m	1.92	1
580016.SH	n	1.92	1
8.44％	m	1.92	1
591.43亿	m	1.92	1
454.19亿	m	1.92	1
795.65亿	m	1.92	1
393.09亿	m	1.92	1
288.55亿	m	1.92	1
114.82％	m	1.92	1
89.21％	m	1.92	1
12：40	m	1.92	1
13：00	m	1.92	1
11：00	m	1.92	1
600048.SH	n	1.92	2
48亿	m	1.92	1
288%	m	1.92	1
2400亿	m	1.92	2
01109.HK	n	1.92	1
42亿	m	1.92	1
28.12	m	1.92	1
3.3亿	m	1.92	1
78.15亿	m	1.92	1
170亿	m	1.92	1
343亿	m	1.92	1
700亿	m	1.92	1
15.8亿	m	1.92	1
80亿	m	1.92	1
70亿	m	1.92	1
百亿	m	1.92	1
130亿	m	1.92	1
128亿	m	1.92	1
1438亿	m	1.92	1
第十五	m	1.92	1
500-1000	m	1.92	1
18888	m	1.92	1
1.8TSI	n	1.92	1
2.0TSI	n	1.92	1
7500	m	1.92	1
7000-8000	m	1.92	1
十八九	m	1.92	1
汀斯	nr2	1.92	1
上千	m	1.92	1
华社	nr2	1.92	1
四千	m	1.92	1
2011	m	1.92	1
1500	m	1.92	1
五六十	m	1.92	1
30%-50%	m	1.92	1
2000亿	m	1.92	1
3000亿	m	1.92	1
445万	m	1.92	1
540万	m	1.92	1
420万	m	1.92	1
2500	m	1.92	1
6000	m	1.92	1
1.78	m	1.92	1
14.1万	m	1.92	1
36.9万	m	1.92	1
8.48万	m	1.92	1
55.4%	m	1.92	1
31.5%	m	1.92	1
5.54万	m	1.92	1
1.4%	m	1.92	1
38.5%	m	1.92	1
12.6%	m	1.92	1
21.5%	m	1.92	1
23.6%	m	1.92	1
65.6%	m	1.92	1
3.7%	m	1.92	1
2.2%	m	1.92	1
91.2%	m	1.92	1
178.1%	m	1.92	1
3.3%	m	1.92	1
14.6%	m	1.92	1
29万	m	1.92	1
七宝	nr2	1.92	1
3700	m	1.92	1
1138	m	1.92	1
5273	m	1.92	1
1071	m	1.92	1
2857	m	1.92	1
1320	m	1.92	1
600-602	m	1.92	1
2127	m	1.92	1
1296	m	1.92	1
1058	m	1.92	1
1396	m	1.92	1
2379	m	1.92	1
2100	m	1.92	1
1855	m	1.92	1
2194	m	1.92	1
2001	m	1.92	1
梅川	nr2	1.92	1
1249	m	1.92	1
1531	m	1.92	1
宜川	nr2	1.92	1
9001	m	1.92	1
肇嘉	nr2	1.92	1
1330	m	1.92	1
8083	m	1.92	1
1115	m	1.92	1
120-3	m	1.92	1
2121	m	1.92	1
3381	m	1.92	1
1794	m	1.92	1
1091	m	1.92	1
延平	nr2	1.92	1
2093	m	1.92	1
2559	m	1.92	1
1028	m	1.92	1
789-1	m	1.92	1
2061	m	1.92	1
1312	m	1.92	1
3352	m	1.92	1
2288	m	1.92	1
逸仙	nr2	1.92	1
联明	nr2	1.92	1
南路	nr2	1.92	1
1005	m	1.92	1
1122	m	1.92	1
1550	m	1.92	1
松路	nr2	1.92	1
3385	m	1.92	1
3047	m	1.92	1
虹梅	nr2	1.92	1
2976	m	1.92	1
建东	nr2	1.92	1
盛路	nr2	1.92	1
1475	m	1.92	1
1861	m	1.92	1
1088	m	1.92	1
1051	m	1.92	1
九亭	nr2	1.92	1
1470	m	1.92	1
2928	m	1.92	1
华江	nr2	1.92	1
1685	m	1.92	1
1141	m	1.92	1
1878	m	1.92	1
121A	n	1.92	1
梅园	nr2	1.92	1
安亭	nr2	1.92	1
1606	m	1.92	1
宜路	nr2	1.92	1
9257	m	1.92	1
1696	m	1.92	1
1652	m	1.92	1
555.5555万	m	1.92	1
550万	m	1.92	1
第09133	m	1.92	1
1200万	m	1.92	1
3101	m	1.92	1
0900	m	1.92	1
1420	m	1.92	1
39.2	m	1.92	1
1.5万	m	1.92	1
3.5万	m	1.92	1
81.28	m	1.92	1
21.6%	m	1.92	1
伟长	nr2	1.92	1
67.3%	m	1.92	1
8800	m	1.92	1
14906	m	1.92	1
3844	m	1.92	1
8：00———10：30	m	1.92	1
10：30	m	1.92	1
16：00	m	1.92	1
95％	m	1.92	1
2007	m	1.92	1
3071	m	1.92	1
563.4万	m	1.92	1
83.3万	m	1.92	1
144637	m	1.92	1
18080	m	1.92	1
4.8%	m	1.92	1
浦发	nr2	1.92	1
从洋	nr2	1.92	1
首秀	nr2	1.92	1
27600	m	1.92	1
70000	m	1.92	1
景仪	nr2	1.92	1
26-30	m	1.92	1
9-13	m	1.92	1
16-20	m	1.92	1
21-22	m	1.92	1
河路	nr2	1.92	1
190.59万	m	1.92	1
31.5％	m	1.92	1
6.27	m	1.92	1
19％	m	1.92	1
18.8％	m	1.92	1
41％	m	1.92	1
第二二〇〇九〇二九七三	m	1.92	1
宝铭	nr2	1.92	1
002313	m	1.92	1
74.22	m	1.92	1
40.18	m	1.92	1
002314	m	1.92	1
130%	m	1.92	1
115%	m	1.92	1
53.30	m	1.92	1
3.43%	m	1.92	1
79.5	m	1.92	1
3270	m	1.92	1
3264.63	m	1.92	1
5.12	m	1.92	1
0.29%	m	1.92	1
四两	m	1.92	2
2117	m	1.92	1
54.0％	m	1.92	1
52.9％	m	1.92	1
44.6％	m	1.92	1
30.0％	m	1.92	1
48.4％	m	1.92	1
奇行	nr2	1.92	1
170%	m	1.92	1
50万亿	m	1.92	1
3248万	m	1.92	1
150%	m	1.92	1
2338	m	1.92	1
4670	m	1.92	1
44300	m	1.92	1
3.4万	m	1.92	1
一排排	m	1.92	1
11.5亿	m	1.92	1
960万	m	1.92	1
40％	m	1.92	1
50％	m	1.92	1
17％	m	1.92	1
英法	nr2	1.92	1
30％	m	1.92	1
1.4亿	m	1.92	1
1994万	m	1.92	1
2400万	m	1.92	1
4.2亿	m	1.92	1
3100万	m	1.92	1
2006	m	1.92	1
3950万	m	1.92	1
1600	m	1.92	1
21万	m	1.92	1
四万	m	1.92	1
长荣	nr2	1.92	1
40亿	m	1.92	1
19:30	m	1.92	2
文广	nr2	1.92	1
62584343	m	1.92	1
52121199	m	1.92	1
58898999	m	1.92	1
1335	m	1.92	1
秀浦	nr2	1.92	1
18万	m	1.92	1
28万	m	1.92	1
13万	m	1.92	1
寒成	nr2	1.92	1
体彩	nr2	1.92	1
2009134	m	1.92	3
3305万	m	1.92	1
颖极	nr2	1.92	1
37.0％	m	1.92	1
14.0％	m	1.92	1
23.0％	m	1.92	1
1.51亿	m	1.92	1
22.9%	m	1.92	1
1.42亿	m	1.92	1
53.39%	m	1.92	1
一批批	m	1.92	1
31.2亿	m	1.92	1
一百	m	1.92	1
400万	m	1.92	1
3500万	m	1.92	1
010-68550617	m	1.92	1
9：55	m	1.92	1
8-15	m	1.92	1
3.5亿	m	1.92	1
2175	m	1.92	1
5370万	m	1.92	1
14.5亿	m	1.92	1
2.2亿	m	1.92	1
2.5亿	m	1.92	1
八十三	m	1.92	1
大炳	nr2	1.92	1
六点二亿	m	1.92	1
十五亿	m	1.92	1
Ｈ１Ｎ１	n	1.92	9
３１３	m	1.92	1
５６００万	m	1.92	1
２６２５万	m	1.92	1
２８６７	m	1.92	1
１１．４４／１０万	m	1.92	1
８０％	m	1.92	1
７％	m	1.92	1
３％	m	1.92	1
１０％	m	1.92	1
１．３１／１０万	m	1.92	1
９万	m	1.92	2
７万	m	1.92	2
１７８	m	1.92	2
12156	m	1.92	1
642.49	m	1.92	1
5万-10万	m	1.92	1
30--50	m	1.92	1
15-20	m	1.92	1
10-15	m	1.92	1
5-10	m	1.92	1
第142	m	1.92	1
数十	m	1.92	1
一点一八万亿	m	1.92	1
两千亿	m	1.92	1
26％	m	1.92	1
0.6％	m	1.92	1
第十六	m	1.92	1
第十七	m	1.92	1
1968.09--1974.09	m	1.92	1
1974.09--1977.09	m	1.92	1
1977.09--1983.07	m	1.92	1
1983.07--1983.12	m	1.92	1
1983.12--1984.04	m	1.92	1
1984.04--1987.01	m	1.92	1
1987.01--1990.06	m	1.92	1
1988.09	m	1.92	1
1990.06--1993.01	m	1.92	1
1993.01--1994.09	m	1.92	1
1993.12	m	1.92	1
1988.12--1993.09	m	1.92	1
1994.09--1995.04	m	1.92	1
1994.10--1995.05	m	1.92	1
1995.04--1995.07	m	1.92	1
1995.07--1996.03	m	1.92	1
1996.03--1998.04	m	1.92	1
1998.04--1998.05	m	1.92	1
1998.05--2001.10	m	1.92	1
1998.02--1999.12	m	1.92	1
2001.10--2002.05	m	1.92	1
2002.05--2009.11	m	1.92	1
2002.10	m	1.92	1
2003.07	m	1.92	1
2003.09	m	1.92	1
2009.11--	m	1.92	1
43.8%	m	1.92	1
2108	m	1.92	1
第十一	m	1.92	1
十七	m	1.92	1
2009-11-19	m	1.92	1
1188	m	1.92	2
1688	m	1.92	2
0.29	m	1.92	2
182.2万	m	1.92	1
314万	m	1.92	1
509.9万	m	1.92	1
千亿	m	1.92	2
上亿	m	1.92	1
08277.HK	n	1.92	1
77万	m	1.92	1
968万	m	1.92	1
嘉鑫	nr2	1.92	1
57.52	m	1.92	1
57.70	m	1.92	1
1255万	m	1.92	1
78万	m	1.92	1
885万	m	1.92	1
235.9%	m	1.92	1
9100万	m	1.92	1
100702	m	1.92	2
第七	m	1.92	1
第八	m	1.92	1
010-64098061	m	1.92	1
803910521208092001	m	1.92	1
32．5％	m	1.92	1
8282	m	1.92	1
0282	m	1.92	1
2282	m	1.92	1
4282	m	1.92	1
6282	m	1.92	1
19761	m	1.92	1
69761	m	1.92	1
41485	m	1.92	1
272199	m	1.92	1
472199	m	1.92	1
672199	m	1.92	1
872199	m	1.92	1
072199	m	1.92	1
073077	m	1.92	1
573077	m	1.92	1
8281550	m	1.92	1
3281550	m	1.92	1
1113336	m	1.92	1
7791	m	1.92	1
9041	m	1.92	1
0291	m	1.92	1
1541	m	1.92	1
2791	m	1.92	1
4041	m	1.92	1
5291	m	1.92	1
6541	m	1.92	1
1970925	m	1.92	1
3220925	m	1.92	1
4470925	m	1.92	1
5720925	m	1.92	1
6970925	m	1.92	1
8220925	m	1.92	1
9470925	m	1.92	1
0720925	m	1.92	1
05455723	m	1.92	1
99686	m	1.92	1
12186	m	1.92	1
24686	m	1.92	1
37186	m	1.92	1
49686	m	1.92	1
62186	m	1.92	1
74686	m	1.92	1
87186	m	1.92	1
676528	m	1.92	1
926528	m	1.92	1
176528	m	1.92	1
426528	m	1.92	1
3999091	m	1.92	1
4129774	m	1.92	1
0855761	m	1.92	1
１３	m	1.92	1
４１０	m	1.92	1
４４７	m	1.92	1
１４９万	m	1.92	1
８８２	m	1.92	1
３３９	m	1.92	1
１９	m	1.92	1
１５万	m	1.92	1
３７万	m	1.92	1
6．5万	m	1.92	1
1046	m	1.92	1
2159	m	1.92	1
41.45％	m	1.92	1
5.19％	m	1.92	1
1350	m	1.92	1
84.06％	m	1.92	1
第81	m	1.92	1
世基	nr2	1.92	1
德盛	nr2	1.92	1
国诚	nr2	1.92	1
09-12-3	m	1.92	1
10:57	m	1.92	1
　　0871	m	1.92	1
3994867	m	1.92	1
红河	nr2	1.92	1
86.06	m	1.92	1
91.50%	m	1.92	1
92.40%	m	1.92	1
93.40%	m	1.92	1
82.40%	m	1.92	1
在非	nr2	1.92	1
73.76	m	1.92	1
12894	m	1.92	1
2：0	m	1.92	1
第100	m	1.92	1
1.2万	m	1.92	1
38万	m	1.92	1
03:00	m	1.92	1
第10	m	1.92	1
第11	m	1.92	1
第20	m	1.92	1
第40	m	1.92	1
第44	m	1.92	1
第87	m	1.92	1
4：1	m	1.92	1
妙传	nr2	1.92	1
海文	nr2	1.92	1
20:45	m	1.92	1
5.16亿	m	1.92	1
239%	m	1.92	1
2462.57	m	1.92	1
3289	m	1.92	1
5556	m	1.92	1
211.87万	m	1.92	1
5.98%	m	1.92	1
215.21万	m	1.92	1
18.02%	m	1.92	1
116.08万	m	1.92	1
27.55%	m	1.92	1
130.67万	m	1.92	1
10.65%	m	1.92	1
3298.04	m	1.92	1
5555.77	m	1.92	1
2258	m	1.92	1
2985.95	m	1.92	1
541.26	m	1.92	1
万亿	m	1.92	1
30.5%	m	1.92	1
3600亿	m	1.92	1
1622亿	m	1.92	1
10.6	m	1.92	1
0.13	m	1.92	1
8000亿	m	1.92	1
2万亿	m	1.92	1
3089万	m	1.92	1
2270	m	1.92	2
147万	m	1.92	2
1300万	m	1.92	1
1700	m	1.92	1
弘基	nr2	1.92	4
767B	n	1.92	2
第六百	m	1.92	2
青龙	nr2	1.92	2
1409	m	1.92	2
8101	m	1.92	2
2.3亿	m	1.92	2
3600	m	1.92	2
7200	m	1.92	2
9600	m	1.92	2
十二	m	1.92	1
十三	m	1.92	1
010-88828371	m	1.92	1
010-68993056	m	1.92	1
3.5%	m	1.92	1
瑞秋	nr2	1.92	1
二十四	m	1.92	1
二十一	m	1.92	1
三百	m	1.92	1
一百六十四	m	1.92	1
900万	m	1.92	1
800万	m	1.92	1
150万	m	1.92	1
1050万	m	1.92	1
250万	m	1.92	1
50万	m	1.92	1
200-300	m	1.92	1
ＬＭＥ	n	1.92	1
2146．5	m	1.92	1
0．3％	m	1.92	1
7115．5	m	1.92	1
0．4％	m	1.92	2
2407．5	m	1.92	1
3．1％	m	1.92	1
16150	m	1.92	1
1．7％	m	1.92	1
2413．5	m	1.92	1
0．7％	m	1.92	1
15187．5	m	1.92	1
第三十一	m	1.92	1
60亿	m	1.92	1
10501050	m	1.92	1
12101210	m	1.92	1
12901290	m	1.92	1
14701470	m	1.92	1
23302330	m	1.92	1
15501550	m	1.92	1
70700万	m	1.92	1
14501450	m	1.92	1
75700万	m	1.92	1
17201720	m	1.92	1
18901930-40	m	1.92	1
23002300	m	1.92	1
25302530	m	1.92	1
950IS800	n	1.92	1
19901990	m	1.92	1
860IS800	n	1.92	1
22902290	m	1.92	1
960IS1200	n	1.92	1
24802480	m	1.92	1
970IS1000	n	1.92	1
28902890	m	1.92	1
28002800	m	1.92	1
19501950	m	1.92	1
28502850	m	1.92	1
35803580	m	1.92	1
350D800	n	1.92	1
400D1000	n	1.92	1
3990	m	1.92	1
45003990	m	1.92	1
450D1220	n	1.92	1
4830	m	1.92	1
55204830	m	1.92	1
5520	m	1.92	1
40D1000	n	1.92	1
6480	m	1.92	1
90006480	m	1.92	1
5D1280	n	1.92	1
1398013980	m	1.92	1
1280万	m	1.92	1
1990019900	m	1.92	1
2780027800	m	1.92	1
5380053800	m	1.92	1
92万	m	1.92	1
1230	m	1.92	1
1290	m	1.92	1
0.000	m	1.92	2
23.6×15.8mm	n	1.92	1
12:00:00	m	1.92	1
30-1	m	1.92	1
10mm	n	1.92	1
200-3200	m	1.92	1
6400	m	1.92	1
4.500	m	1.92	1
3216×2136	m	1.92	1
2144×1424.	m	1.92	1
3.000	m	1.92	1
92.000	m	1.92	1
0.94	m	1.92	1
+1.0	m	1.92	1
全屏	nr2	1.92	1
1080i	n	1.92	1
576p	n	1.92	1
480p	n	1.92	1
132×103×77	m	1.92	1
620.0	m	1.92	1
8000万	m	1.92	1
两三千万	m	1.92	1
30MKM	n	1.92	1
7.62	m	1.92	1
第１８	m	1.92	1
１６	m	1.92	1
十五	m	1.92	1
800亿	m	1.92	1
7．3％	m	1.92	1
15％	m	1.92	1
8．3％	m	1.92	1
ＤＡＸ	n	1.92	1
1．05％	m	1.92	1
ＣＡＣ40	n	1.92	1
1．11％	m	1.92	1
2800万	m	1.92	1
600173	m	1.92	1
454万	m	1.92	1
407万	m	1.92	1
230万	m	1.92	1
600011	m	1.92	1
141万	m	1.92	1
600196	m	1.92	1
268万	m	1.92	1
387万	m	1.92	1
600738	m	1.92	1
1249万	m	1.92	1
904万	m	1.92	1
600805	m	1.92	1
2027万	m	1.92	1
1536万	m	1.92	1
伍兹	nrf	1.92	14
挺	d	1.92	20
远洋	b	1.92	16
简直	d	1.91	6
多种	m	1.91	5
东部	f	1.91	5
一部分	m	1.91	5
立	v	1.91	8
特定	b	1.91	5
盈	vg	1.91	8
来文	n	1.90	8
译	v	1.90	9
高效	b	1.90	10
半	m	1.90	38
面前	f	1.90	7
艰苦	a	1.89	3
严峻	a	1.89	3
不行	a	1.89	3
沉重	a	1.89	3
真诚	a	1.89	3
不满	an	1.89	3
透明	a	1.89	3
高涨	a	1.89	3
低价	ad	1.89	3
善良	a	1.89	3
